Microsoft Windows [Version 10.0.19045.6216]
(c) Microsoft Corporation. All rights reserved.

D:\democ2\gitchatc2\bin\Debug>cmd /k tasklist

Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         64 K
Registry                       124 Services                   0     75,812 K
smss.exe                       444 Services                   0        432 K
csrss.exe                      576 Services                   0      3,392 K
wininit.exe                    664 Services                   0      2,904 K
csrss.exe                      672 Console                    1      5,064 K
winlogon.exe                   764 Console                    1      8,096 K
services.exe                   808 Services                   0      8,148 K
lsass.exe                      816 Services                   0     17,008 K
svchost.exe                    956 Services                   0     28,908 K
fontdrvhost.exe                984 Console                    1      5,432 K
fontdrvhost.exe                980 Services                   0      1,956 K
svchost.exe                    600 Services                   0     15,880 K
svchost.exe                    848 Services                   0      7,640 K
svchost.exe                   1088 Services                   0      5,912 K
svchost.exe                   1096 Services                   0      9,808 K
svchost.exe                   1104 Services                   0      2,352 K
dwm.exe                       1204 Console                    1     89,220 K
IntelCpHDCPSvc.exe            1244 Services                   0      3,260 K
svchost.exe                   1276 Services                   0      3,836 K
svchost.exe                   1296 Services                   0      4,876 K
svchost.exe                   1392 Services                   0     12,448 K
svchost.exe                   1528 Services                   0      5,604 K
IntelCpHeciSvc.exe            1548 Services                   0      3,020 K
svchost.exe                   1608 Services                   0     11,836 K
svchost.exe                   1628 Services                   0     10,344 K
svchost.exe                   1640 Services                   0      6,772 K
igfxCUIService.exe            1716 Services                   0      5,004 K
svchost.exe                   1796 Services                   0      4,204 K
svchost.exe                   1864 Services                   0      8,392 K
svchost.exe                   1916 Services                   0      5,296 K
svchost.exe                   1948 Services                   0     11,656 K
svchost.exe                   1952 Services                   0      3,104 K
svchost.exe                   2040 Services                   0      4,480 K
svchost.exe                    852 Services                   0      5,344 K
Memory Compression            2068 Services                   0    235,016 K
svchost.exe                   2144 Services                   0      9,640 K
svchost.exe                   2228 Services                   0      3,252 K
svchost.exe                   2304 Services                   0      5,272 K
svchost.exe                   2364 Services                   0      7,584 K
svchost.exe                   2388 Services                   0     11,088 K
svchost.exe                   2560 Services                   0      7,184 K
svchost.exe                   2568 Services                   0      5,680 K
svchost.exe                   2576 Services                   0      8,892 K
svchost.exe                   2648 Services                   0     11,088 K
svchost.exe                   2696 Services                   0     15,488 K
svchost.exe                   2780 Services                   0      3,544 K
svchost.exe                   2860 Services                   0      5,288 K
spoolsv.exe                   2888 Services                   0      9,632 K
svchost.exe                   3020 Services                   0     14,252 K
svchost.exe                   3068 Services                   0      4,752 K
svchost.exe                   3208 Services                   0     26,860 K
svchost.exe                   3232 Services                   0     37,912 K
svchost.exe                   3240 Services                   0      3,036 K
svchost.exe                   3248 Services                   0     17,148 K
svchost.exe                   3256 Services                   0     32,836 K
svchost.exe                   3268 Services                   0      3,312 K
svchost.exe                   3276 Services                   0     16,484 K
openvpnserv.exe               3284 Services                   0      2,708 K
sqlwriter.exe                 3344 Services                   0      3,968 K
vmnetdhcp.exe                 3360 Services                   0      3,984 K
OneApp.IGCC.WinService.ex     3372 Services                   0     36,416 K
vmnat.exe                     3404 Services                   0      6,084 K
TPMProvisioningService.ex     3416 Services                   0      4,908 K
ManagerService.exe            3428 Services                   0      4,256 K
WMIRegistrationService.ex     3436 Services                   0      9,096 K
jhi_service.exe               3460 Services                   0      2,812 K
MsMpEng.exe                   3496 Services                   0    280,760 K
MpDefenderCoreService.exe     3504 Services                   0     16,960 K
CoordinatorService.exe        3568 Services                   0     22,072 K
LicenseService.exe            3580 Services                   0      7,848 K
svchost.exe                   3684 Services                   0      2,572 K
endpointService.exe           3728 Services                   0      4,936 K
svchost.exe                   3772 Services                   0      6,412 K
svchost.exe                   3792 Services                   0      6,244 K
vmware-authd.exe              3816 Services                   0      8,848 K
vmware-usbarbitrator64.ex     3840 Services                   0      7,492 K
BuildService.exe              3880 Services                   0     14,684 K
svchost.exe                   3912 Services                   0      7,536 K
Manager.exe                   4212 Services                   0    110,292 K
conhost.exe                   4324 Services                   0      5,048 K
openvpnserv2.exe              4876 Services                   0     10,000 K
